genre,rating,runtime,title,votes,year,ratingRange,runtimeRange
"Short, Adventure, Drama",,11.0,Kathmandude,,2017.0,,<60
"Action, Comedy",8.2,,Je Bho Ramrai Bho,16.0,2003.0,high,
"Drama, Mystery, Romance",7.3,50.0,DristiBhram,19.0,2015.0,high,<60
Drama,,,Jeevan Rekha,,1982.0,,
"Drama, Romance",6.9,138.0,Kasle Choryo Mero Man,11.0,2010.0,average,>120mins
"Action, Crime, Romance",6.9,138.0,Gangster Blues,33.0,2017.0,average,>120mins
Drama,,,Swarga,,1994.0,,
"Comedy, Drama, Music",8.6,135.0,Mokshya,9.0,2014.0,high,>120mins
"Music, Mystery",8.1,60.0,Nepal Idol,58.0,2017.0,high,<60
Drama,7.9,75.0,Birami Sahar (Sick City),61.0,2011.0,high,60-120
Comedy,,,Garud Puran,,2019.0,,
Drama,8.0,140.0,Uma,20.0,2013.0,high,>120mins
Family,,,Tshering,,2018.0,,
Drama,,,Pal,,2011.0,,
Documentary,8.2,89.0,Children of God,72.0,2008.0,high,60-120
Action,7.1,,Jung Bahadur Ko Coat,8.0,2015.0,high,
,6.3,,Aafno Manchhe,7.0,2001.0,average,
Drama,,,Himmatwali,,2014.0,,
"Drama, Musical",,,Karkash,,2013.0,,
"Biography, Drama",,,Aadi Kabi Bhanubhakta,,1999.0,,
Action,,100.0,Mission Paisa 2: Reloaded,,2015.0,,60-120
"Action, Thriller",6.8,125.0,Chhadke,66.0,2013.0,average,>120mins
"Drama, Musical, Romance",7.4,,Silu,5.0,1987.0,high,
,9.2,,Kumari,6.0,1977.0,high,
"Short, Music",,,Rupak Dotel & Anju Panta: Banki Chari,,2018.0,,
,8.2,,Muskan,6.0,2002.0,high,
Romance,6.6,,Mero Love Story,14.0,2011.0,average,
"Drama, Family, Romance",6.2,133.0,Gajalu,16.0,2016.0,average,>120mins
"Short, Music",,5.0,Jaula Relaima,,2017.0,,<60
Drama,7.5,105.0,Visa Girl,37.0,2012.0,high,60-120
"Short, Drama",9.5,15.0,Singha Durbar,8.0,2016.0,high,<60
,,97.0,Apsara,,2000.0,,60-120
Drama,,100.0,Chhayan,,2016.0,,60-120
Horror,5.6,,Parva,7.0,2017.0,average,
"Drama, History",,,Simarekha,,1997.0,,
Drama,8.2,,Dui Thopa Aansu,6.0,1993.0,high,
Documentary,,29.0,Last Nomads of Everest,,2017.0,,<60
"Drama, Horror, Thriller",,85.0,Basenji,,2020.0,,60-120
Romance,,,Bandha Mayale,,2018.0,,
"Comedy, Drama",,149.0,Hasi Deu Ek Phera,,2010.0,,>120mins
Action,,113.0,The Commando,,2007.0,,60-120
Drama,8.4,,Lama La,5.0,2016.0,high,
"Short, Fantasy",,22.0,Love? Lust? Life?,,2015.0,,<60
"Comedy, Drama",3.8,138.0,How Funny,12.0,2016.0,low,>120mins
"Drama, Romance",7.6,138.0,Dewar Babu,5.0,2007.0,high,>120mins
Drama,,,Kathaa '72,,2018.0,,
"Short, Drama",,14.0,A Year,,2018.0,,<60
"Action, Drama, War",8.1,,Lahure,18.0,1989.0,high,
Romance,,,Rato Galbandi,,2019.0,,
Crime,,,Chakkar,,2018.0,,
Drama,6.2,,Silsila,6.0,2009.0,average,
Thriller,6.5,,Jhumkee,10.0,2016.0,average,
Romance,,,Biteka Pal,,2014.0,,
"Short, Thriller",,9.0,Dhoka,,2017.0,,<60
"Short, Drama, Thriller",6.0,20.0,Sahasi Chori,12.0,2013.0,average,<60
"Documentary, Drama",9.0,96.0,Drawing the Tiger,5.0,2015.0,high,60-120
Drama,,,Jani Najani,,2019.0,,
"Drama, Thriller",7.5,114.0,Ko Afno,11.0,2015.0,high,60-120
Romance,7.7,132.0,November Rain,30.0,2014.0,high,>120mins
Romance,,,Subha Love,,2019.0,,
"Short, Drama, Fantasy",,3.0,Pandorum,,2016.0,,<60
Comedy,,,Jai Shree Daam,,2018.0,,
"Adventure, Reality-TV",,21.0,Sammy Adventures,,2016.0,,<60
Drama,7.6,,Palash,5.0,2017.0,high,
"Drama, Musical",6.9,,Darpan Chhaya 2,8.0,2017.0,average,
Action,,,Nepal,,,,
"Action, Comedy",7.8,,Thuldai,16.0,1999.0,high,
Drama,,,Fingerprint,,2019.0,,
Action,,,Rumalai Chha Chino,,2019.0,,
Drama,8.4,,Chameli,7.0,1999.0,high,
Romance,,,Premleela,,2019.0,,
Drama,,,Pahuna,,2003.0,,
Romance,7.2,,Love Sasha,12.0,2017.0,high,
Drama,8.3,99.0,God Lives in the Himalayas,23.0,2009.0,high,60-120
"Game-Show, Reality-TV",8.9,,Ko Banchha Crorepati,7.0,2019.0,high,
Documentary,8.5,,Who Will Be a Gurkha,29.0,2012.0,high,
Drama,,,Mausam,,2009.0,,
